id,type,question,answer_len,context_count
1,simple_fact,紫金矿业2023年的营业收入是多少？...,91,4
2,simple_fact,沃尔核材2023年的营业收入是多少？...,40,4
3,simple_fact,重庆钢铁2023年的营业收入是多少？...,74,4
4,simple_fact,紫金矿业2022年归属于上市公司股东的净利润是多少？...,54,4
5,simple_fact,沃尔核材2024年归属于上市公司股东的净利润是多少？...,52,4
6,precise_number,紫金矿业2023年实现归属于上市公司股东的净利润具体是多少亿...,106,4
7,precise_number,重庆钢铁2023年归属于上市公司股东的净利润是多少？是盈利还...,138,4
8,precise_number,紫金矿业2023年的研发费用（研发投入）是多少？占营业收入的...,102,4
9,precise_number,紫金矿业2022年基本每股收益是多少元？...,177,4
10,precise_number,重庆钢铁2022年的利润分配方案是什么？每10股派发现金红利...,128,4
11,cross_doc_compare,比较紫金矿业和重庆钢铁2023年的营业收入，哪家公司更高？分...,94,4
12,cross_doc_compare,紫金矿业和沃尔核材2023年归属于上市公司股东的净利润谁更高...,130,4
13,cross_doc_compare,紫金矿业、沃尔核材、重庆钢铁三家2023年营业收入如何排序？...,54,4
14,cross_doc_compare,紫金矿业与重庆钢铁的主营业务有什么根本差异？...,48,4
15,time_trend,紫金矿业2021年至2023年营业收入的变化趋势如何？三年的...,245,4
16,time_trend,沃尔核材2021年到2023年营业收入的变化情况是怎样的？...,406,4
17,time_trend,重庆钢铁2021年至2023年归属于上市公司股东的净利润如何...,240,4
18,should_refuse,目前紫金矿业的股价是多少？今天适合买入吗？...,152,4
19,should_refuse,沃尔核材CEO的个人财富排名是多少？...,15,4
20,should_refuse,重庆钢铁未来三年的股息分配计划是什么？...,115,4
